baseline_owner_module	baseline_declaration_name	visibility	kind	baseline_order	destination_module	route_class	normalization_decision
NumStability.Algorithms.LU.Higham15Problem15_6	NumStability.Higham15Problem15_6.tridiag_mulVec_entry	public	theorem	1	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.EntryFormulas	source	approved_owner_block_route
NumStability.Algorithms.LU.Higham15Problem15_6	NumStability.Higham15Problem15_6.tridiag_vecMul_entry	public	theorem	2	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.EntryFormulas	source	approved_owner_block_route
NumStability.Algorithms.LU.Higham15Problem15_6	_private.NumStability.Algorithms.LU.Higham15Problem15_6.0.NumStability.Higham15Problem15_6.sum_nested_ite_three	private	theorem	3	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.EntryFormulas	source	approved_owner_block_route
NumStability.Algorithms.LU.Higham15Problem15_6	_private.NumStability.Algorithms.LU.Higham15Problem15_6.0.NumStability.Higham15Problem15_6.sum_nested_ite_two	private	theorem	4	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.EntryFormulas	source	approved_owner_block_route
NumStability.Algorithms.LU.Higham15Problem15_6	_private.NumStability.Algorithms.LU.Higham15Problem15_6.0.NumStability.Higham15Problem15_6.upper_corner_ne	private	theorem	5	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.EntryFormulas	source	approved_owner_block_route
NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Higham15Problem15_6.H15_Problem15_6_of_irreducible_rightInverse	public	theorem	1	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	source	approved_owner_block_route
NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Higham15Problem15_6.absInvMul_correct	public	theorem	2	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	source	approved_owner_block_route
NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Higham15Problem15_6.backward_column_scaled	public	theorem	3	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	source	approved_owner_block_route
NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Higham15Problem15_6.backward_row_scaled	public	theorem	4	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	source	approved_owner_block_route
NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Higham15Problem15_6.forward_column_scaled	public	theorem	5	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	source	approved_owner_block_route
NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Higham15Problem15_6.forward_row_scaled	public	theorem	6	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	source	approved_owner_block_route
NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Higham15Problem15_6.infNorm_correct	public	theorem	7	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	source	approved_owner_block_route
NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Higham15Problem15_6.lower_factorization	public	theorem	8	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	source	approved_owner_block_route
NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Higham15Problem15_6.p_correct	public	theorem	9	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	source	approved_owner_block_route
NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Higham15Problem15_6.qResidual_ne	public	theorem	10	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	source	approved_owner_block_route
