format	1
declaration	historical_module	destination_module	decision	kind	visibility	command_root	start_line
NumStability.Higham21MGSCorrectedBackwardRecurrence.output	NumStability.Algorithms.Underdetermined.Higham21MGS	NumStability.Algorithms.LinearSystems.Underdetermined.QR.ModifiedGramSchmidt.CorrectedRecurrence.Core	relocate_reusable	theorem	public	NumStability.Higham21MGSCorrectedBackwardRecurrence	402
NumStability.Higham21MGSCorrectedBackwardRecurrence.rec	NumStability.Algorithms.Underdetermined.Higham21MGS	NumStability.Algorithms.LinearSystems.Underdetermined.QR.ModifiedGramSchmidt.CorrectedRecurrence.Core	relocate_reusable	recursor	public	NumStability.Higham21MGSCorrectedBackwardRecurrence	402
NumStability.Higham21MGSCorrectedBackwardRecurrence.recOn	NumStability.Algorithms.Underdetermined.Higham21MGS	NumStability.Algorithms.LinearSystems.Underdetermined.QR.ModifiedGramSchmidt.CorrectedRecurrence.Core	relocate_reusable	definition	public	NumStability.Higham21MGSCorrectedBackwardRecurrence	402
NumStability.Higham21MGSCorrectedBackwardRecurrence.step	NumStability.Algorithms.Underdetermined.Higham21MGS	NumStability.Algorithms.LinearSystems.Underdetermined.QR.ModifiedGramSchmidt.CorrectedRecurrence.Core	relocate_reusable	theorem	public	NumStability.Higham21MGSCorrectedBackwardRecurrence	402
NumStability.Higham21MGSCorrectedBackwardRecurrence.terminal	NumStability.Algorithms.Underdetermined.Higham21MGS	NumStability.Algorithms.LinearSystems.Underdetermined.QR.ModifiedGramSchmidt.CorrectedRecurrence.Core	relocate_reusable	theorem	public	NumStability.Higham21MGSCorrectedBackwardRecurrence	402
NumStability.Higham21MGSCorrectedMGSRepairCompatibility	NumStability.Algorithms.Underdetermined.Higham21MGS	NumStability.Algorithms.LinearSystems.Underdetermined.QR.ModifiedGramSchmidt.CorrectedRecurrence.Core	relocate_reusable	definition	public	NumStability.Higham21MGSCorrectedMGSRepairCompatibility	509
NumStability.Higham21MGSCorrectedRowwiseCertificate	NumStability.Algorithms.Underdetermined.Higham21MGS	NumStability.Algorithms.LinearSystems.Underdetermined.QR.ModifiedGramSchmidt.CorrectedRecurrence.Core	relocate_reusable	inductive	public	NumStability.Higham21MGSCorrectedRowwiseCertificate	418
NumStability.Higham21MGSCorrectedRowwiseCertificate.casesOn	NumStability.Algorithms.Underdetermined.Higham21MGS	NumStability.Algorithms.LinearSystems.Underdetermined.QR.ModifiedGramSchmidt.CorrectedRecurrence.Core	relocate_reusable	definition	public	NumStability.Higham21MGSCorrectedRowwiseCertificate	418
NumStability.Higham21MGSCorrectedRowwiseCertificate.column_bound	NumStability.Algorithms.Underdetermined.Higham21MGS	NumStability.Algorithms.LinearSystems.Underdetermined.QR.ModifiedGramSchmidt.CorrectedRecurrence.Core	relocate_reusable	theorem	public	NumStability.Higham21MGSCorrectedRowwiseCertificate	418
NumStability.Higham21MGSCorrectedRowwiseCertificate.eta_nonneg	NumStability.Algorithms.Underdetermined.Higham21MGS	NumStability.Algorithms.LinearSystems.Underdetermined.QR.ModifiedGramSchmidt.CorrectedRecurrence.Core	relocate_reusable	theorem	public	NumStability.Higham21MGSCorrectedRowwiseCertificate	418
NumStability.Higham21MGSCorrectedRowwiseCertificate.factor	NumStability.Algorithms.Underdetermined.Higham21MGS	NumStability.Algorithms.LinearSystems.Underdetermined.QR.ModifiedGramSchmidt.CorrectedRecurrence.Core	relocate_reusable	theorem	public	NumStability.Higham21MGSCorrectedRowwiseCertificate	418
NumStability.Higham21MGSCorrectedRowwiseCertificate.mk	NumStability.Algorithms.Underdetermined.Higham21MGS	NumStability.Algorithms.LinearSystems.Underdetermined.QR.ModifiedGramSchmidt.CorrectedRecurrence.Core	relocate_reusable	constructor	public	NumStability.Higham21MGSCorrectedRowwiseCertificate	418
NumStability.Higham21MGSCorrectedRowwiseCertificate.orthonormal	NumStability.Algorithms.Underdetermined.Higham21MGS	NumStability.Algorithms.LinearSystems.Underdetermined.QR.ModifiedGramSchmidt.CorrectedRecurrence.Core	relocate_reusable	theorem	public	NumStability.Higham21MGSCorrectedRowwiseCertificate	418
